lon,lat,observer_height,heading_deg
13.04593178,37.6426626,1.5,29.98303223
13.59058578,37.84412162,1.5,249.974823
15.12941195,36.88749479,1.5,291.9096832
13.24327223,37.91296867,1.5,17.69338989
13.09550005,38.03928459,1.5,283.581543
13.01789538,37.61754864,1.5,27.23680115
15.6360656,38.01048826,1.5,5.415817261
13.79240716,37.97370602,1.5,186.8731384
13.97719825,37.6583612,1.5,262.4430542
13.80549173,37.9756883,1.5,181.381958
13.13302153,37.65532287,1.5,161.8107872
13.44133632,37.57986017,1.5,12.11277771
13.82022164,37.52971163,1.5,339.2089386
14.21051923,37.30601811,1.5,305.5344543
12.51816104,37.73315746,1.5,251.2037964
13.33035849,37.42589611,1.5,109.157074
12.48068357,37.80881219,1.5,257.2109985
13.32550872,37.53819791,1.5,276.7622986
13.59098009,37.84398783,1.5,243.2991028
13.97736471,37.65835191,1.5,271.6268311
13.31809744,37.50708118,1.5,319.4612274
15.63603347,38.01065856,1.5,186.9414673
15.19813218,37.16114176,1.5,293.3474121
13.82714248,37.68968343,1.5,343.3999329
13.35627619,37.58888119,1.5,306.2558594
13.62886319,37.27395359,1.5,161.8424358
15.63344275,38.08333969,1.5,69.74642181
15.66471899,38.077908,1.5,185.7722168
12.5871638,37.97707097,1.5,226.0090332
13.01784071,37.6176363,1.5,26.21382141
13.09784556,37.53911959,1.5,334.9089813
15.16839258,37.57913974,1.5,146.6297531
13.04597161,37.64258389,1.5,18.7119751
12.48082094,37.80881007,1.5,279.6414185
15.15501821,37.04454891,1.5,45.14442444
13.32512975,37.5381597,1.5,277.4821777
13.25309086,37.53959727,1.5,157.3507557
12.55794372,37.78634972,1.5,67.25411224
13.31802149,37.50701433,1.5,318.5541687
12.60392806,37.82495621,1.5,278.7700806
12.48044402,37.80887153,1.5,257.2563782
12.82128131,37.6558723,1.5,60.27645111
15.32021893,37.00420219,1.5,265.7808838
13.0185464,37.69466193,1.5,65.251091
13.1272521,37.68693005,1.5,211.1169128
13.71187277,37.46450803,1.5,283.2072754
13.9770324,37.65839263,1.5,253.3085327
14.12606864,37.50505505,1.5,320.3829956
14.01045536,37.39196804,1.5,10.66667175
13.31794555,37.50694771,1.5,317.0841827
13.20958491,37.54037396,1.5,163.827404
13.59084933,37.84404122,1.5,243.1706848
13.02234818,37.73005713,1.5,191.429718
13.32502059,37.53814878,1.5,277.1251221
13.97243723,38.00286185,1.5,240.2908325
15.20510033,37.05104821,1.5,88.31487274
13.78675854,37.96261314,1.5,138.8604813
13.13306182,37.65541337,1.5,160.6803169
14.08964561,37.15380945,1.5,287.4111633
13.8843922,37.99930977,1.5,111.7388382
14.05432526,37.49980164,1.5,319.1257172
15.16471339,37.1568493,1.5,49.32092285
12.71888417,37.87237238,1.5,297.779541
13.95269861,37.65876195,1.5,238.1370544
15.24144339,37.08244364,1.5,234.9276428
13.97762265,37.65836744,1.5,276.7310486
13.97744936,37.65835462,1.5,275.2242432
12.94763903,37.61141537,1.5,336.2802277
15.01491007,37.2736278,1.5,32.42681885
13.74510878,37.963302,1.5,103.7609711
13.01774008,37.61779899,1.5,27.22438049
13.1939527,37.54527363,1.5,195.1001282
13.18121009,37.58876375,1.5,214.6302185
13.48924028,37.48563211,1.5,240.9966125
13.16935803,38.15776482,1.5,213.25354
13.54031282,37.57666645,1.5,319.5085602
13.03516974,38.06804175,1.5,213.9440002
13.01763513,37.61796951,1.5,26.65856934
15.6647044,38.07746264,1.5,271.3989868
13.03854243,37.49762969,1.5,268.5827026
13.97711537,37.65837397,1.5,257.2001343
15.16311286,37.08127884,1.5,191.3207703
13.90236468,37.96286995,1.5,312.3761597
13.92808153,37.58348228,1.5,69.18232727
13.66861116,37.99339847,1.5,305.0941162
13.79251265,37.9734132,1.5,200.8017273
13.20990367,37.92513924,1.5,122.7863617
13.04575244,37.64283903,1.5,48.48773193
13.67175041,37.92700266,1.5,162.6400642
13.67179184,37.92710041,1.5,161.345295
13.59116904,37.84391752,1.5,247.0629883
14.89686862,37.12767473,1.5,95.75312042
12.71899657,37.87242038,1.5,298.537323
13.60376099,37.65390499,1.5,160.7969398
12.51554113,37.69748547,1.5,324.681076
12.71866438,37.8722846,1.5,297.9637146
13.9524378,37.65889306,1.5,239.2189636
13.08978831,38.00559868,1.5,0.30796814
14.05329261,37.34552682,1.5,86.87609863
15.12854512,37.18625088,1.5,28.45883179
12.51833871,37.92245323,1.5,251.2295837
13.67187895,37.92727081,1.5,157.6553345
15.13142081,37.04105672,1.5,147.0915604
13.32574873,37.53821519,1.5,95.55944061
13.18115104,37.58883114,1.5,34.20526123
13.52363272,37.50575254,1.5,118.0529213
15.01274108,37.15772538,1.5,0.321151733
13.97694943,37.65841473,1.5,251.6165771
15.13107996,36.9597676,1.5,257.6263733
13.2067563,37.50409835,1.5,26.42759705
13.29136835,37.58562625,1.5,217.894043
13.32536818,37.53817844,1.5,98.5962677
13.35171228,37.5343198,1.5,131.4301491
12.47147347,37.70464802,1.5,344.4855804
15.16459049,36.92958092,1.5,188.4116821
